sample_id,target,sample_type,event_date,latitude,longitude,state,is_ner,month,year,rain_1d,rain_3d,rain_7d,precip_1d,precip_3d,precip_7d,precip_hours_1d,precip_hours_3d,precip_hours_7d,temp_mean,temp_max,temp_min,wind_max
POS_00047,1,landslide_event,2007-07-30,22.479,92.967,Mizoram,True,7,2007,0.8,4.3,43.1,0.8,4.3,43.1,4.0,21.0,96.0,22.3,25.9,19.2,6.5
POS_00051,1,landslide_event,2007-08-06,33.2451,75.2257,Jammu and Kashmir,False,8,2007,6.7,10.0,18.099999999999998,6.7,10.0,18.099999999999998,7.0,20.0,49.0,19.1,21.0,17.1,5.8
CTRL_00052,0,matched_control,2007-08-27,33.2451,75.2257,Jammu and Kashmir,False,8,2007,0.0,5.199999999999999,20.599999999999994,0.0,5.199999999999999,20.599999999999994,0.0,15.0,48.0,20.0,25.4,14.8,6.6
POS_00088,1,landslide_event,2007-09-07,27.201,88.4883,Unknown,False,9,2007,107.8,239.2,372.3,107.8,239.2,372.3,24.0,70.0,142.0,21.6,22.4,20.5,4.8
POS_00103,1,landslide_event,2007-09-13,26.1833,91.8,Assam,True,9,2007,17.7,22.0,123.8,17.7,22.0,123.8,13.0,28.0,112.0,28.5,32.2,25.8,7.3
CTRL_00089,0,matched_control,2007-09-28,27.201,88.4883,Unknown,False,9,2007,5.8,13.0,25.7,5.8,13.0,25.7,12.0,29.0,66.0,15.7,19.9,13.1,4.5
CTRL_00114,0,matched_control,2007-10-04,11.7792,78.2034,Tamil Nadu,False,10,2007,0.2,0.5,7.400000000000001,0.2,0.5,7.400000000000001,2.0,4.0,18.0,22.3,26.6,18.1,11.9
POS_00113,1,landslide_event,2007-10-25,11.7792,78.2034,Tamil Nadu,False,10,2007,2.5,43.1,132.5,2.5,43.1,132.5,7.0,41.0,117.0,19.1,23.2,16.9,12.9
POS_00120,1,landslide_event,2008-01-06,33.1517,75.5464,Jammu and Kashmir,False,1,2008,0.7,1.0,1.0,14.0,29.3,29.3,13.0,37.0,37.0,-1.2,0.6,-4.1,6.9
POS_00124,1,landslide_event,2008-01-09,33.23738085,75.24528226,Jammu and Kashmir,False,1,2008,17.3,43.6,48.1,55.4,97.6,116.89999999999999,24.0,64.0,98.0,0.5,1.9,-0.8,5.9
CTRL_00121,0,matched_control,2008-01-27,33.1517,75.5464,Jammu and Kashmir,False,1,2008,0.0,0.0,0.0,0.0,3.5,4.5,0.0,17.0,24.0,-10.2,-4.1,-17.0,7.9
CTRL_00125,0,matched_control,2008-01-30,33.23738085,75.24528226,Jammu and Kashmir,False,1,2008,0.0,0.2,0.4,0.0,0.7,2.3,0.0,5.0,15.0,-5.3,1.6,-11.0,6.4
POS_00132,1,landslide_event,2008-02-13,33.2418,75.242,Jammu and Kashmir,False,2,2008,0.0,0.0,1.5,0.0,0.0,24.299999999999997,0.0,0.0,26.0,-2.8,5.0,-11.3,8.4
POS_00140,1,landslide_event,2008-05-05,33.9513,74.9845,Jammu and Kashmir,False,5,2008,14.2,22.2,22.2,14.2,22.2,22.2,14.0,31.0,31.0,14.2,17.7,9.2,6.5
POS_00142,1,landslide_event,2008-05-18,19.5178,83.1809,Orissa,False,5,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2,38.2,25.1,15.8
POS_00143,1,landslide_event,2008-05-20,24.9849,92.8411,Assam,True,5,2008,26.2,69.0,87.89999999999999,26.2,69.0,87.89999999999999,16.0,60.0,90.0,23.9,27.8,20.6,7.8
CTRL_00141,0,matched_control,2008-05-26,33.9513,74.9845,Jammu and Kashmir,False,5,2008,16.6,45.800000000000004,51.6,16.6,45.800000000000004,51.6,24.0,61.0,75.0,16.9,21.2,12.6,4.3
POS_00146,1,landslide_event,2008-06-03,31.2077,77.193,Himachal Pradesh,False,6,2008,10.2,23.7,33.300000000000004,10.2,23.7,33.300000000000004,6.0,20.0,30.0,23.7,29.3,17.9,9.0
CTRL_00147,0,matched_control,2008-06-24,31.2077,77.193,Himachal Pradesh,False,6,2008,3.8,7.8,66.5,3.8,7.8,66.5,6.0,19.0,81.0,25.2,27.9,21.1,8.0
POS_00178,1,landslide_event,2008-08-12,14.229,74.8122,Karnataka,False,8,2008,58.1,221.2,399.2,58.1,221.2,399.2,24.0,72.0,167.0,22.2,23.5,21.3,20.0
POS_00179,1,landslide_event,2008-08-12,13.986,75.452,Karnataka,False,8,2008,11.0,79.0,140.0,11.0,79.0,140.0,20.0,68.0,142.0,22.6,25.2,21.4,24.9
POS_00180,1,landslide_event,2008-08-14,27.163,94.0,Assam,True,8,2008,13.5,31.700000000000003,149.50000000000003,13.5,31.700000000000003,149.50000000000003,24.0,63.0,126.0,27.9,29.9,26.2,4.4
POS_00204,1,landslide_event,2008-12-20,33.245,75.247,Jammu and Kashmir,False,12,2008,36.7,54.9,57.5,44.3,63.699999999999996,66.8,24.0,46.0,57.0,5.5,6.7,4.3,5.8
POS_00215,1,landslide_event,2009-07-01,27.478,88.527,Unknown,False,7,2009,37.7,104.50000000000001,236.4,37.7,104.50000000000001,236.4,24.0,70.0,166.0,21.6,22.7,20.1,4.7
CTRL_00216,0,matched_control,2009-07-22,27.478,88.527,Unknown,False,7,2009,42.8,95.1,157.9,42.8,95.1,157.9,23.0,52.0,120.0,22.1,25.7,19.0,5.2
POS_00238,1,landslide_event,2009-08-20,25.5215,93.1645,Assam,True,8,2009,2.4,9.6,90.3,2.4,9.6,90.3,14.0,41.0,72.0,26.9,29.3,25.5,14.7
POS_00237,1,landslide_event,2009-08-20,24.9925,93.5,Assam,True,8,2009,10.2,24.9,88.30000000000001,10.2,24.9,88.30000000000001,24.0,60.0,129.0,20.9,23.0,19.7,6.6
POS_00269,1,landslide_event,2009-10-02,14.7812,74.499,Karnataka,False,10,2009,31.8,139.3,182.9,31.8,139.3,182.9,24.0,72.0,116.0,21.3,22.2,20.5,13.5
POS_00275,1,landslide_event,2009-10-03,11.4816,75.9957,Kerala,False,10,2009,46.3,98.4,114.80000000000001,46.3,98.4,114.80000000000001,24.0,67.0,119.0,25.5,27.2,24.0,11.8
CTRL_00270,0,matched_control,2009-10-23,14.7812,74.499,Karnataka,False,10,2009,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,6.0,24.1,30.3,19.3,8.3
CTRL_00276,0,matched_control,2009-10-24,11.4816,75.9957,Kerala,False,10,2009,0.3,1.5999999999999999,4.8,0.3,1.5999999999999999,4.8,1.0,8.0,15.0,26.8,31.1,23.6,5.3
POS_00286,1,landslide_event,2010-02-06,33.1595,75.8011,Jammu and Kashmir,False,2,2010,1.7,1.7,1.7,20.5,37.3,37.3,19.0,36.0,36.0,6.6,8.7,4.9,4.1
CTRL_00287,0,matched_control,2010-02-27,33.1595,75.8011,Jammu and Kashmir,False,2,2010,0.9,5.9,6.1000000000000005,2.0,14.9,15.1,5.0,30.0,32.0,11.5,15.1,7.2,4.7
POS_00296,1,landslide_event,2010-04-01,25.1553,93.028,Assam,True,4,2010,8.2,74.5,141.39999999999998,8.2,74.5,141.39999999999998,17.0,58.0,89.0,21.6,24.5,17.9,14.7
POS_00302,1,landslide_event,2010-04-20,26.1978,91.7665,Assam,True,4,2010,45.7,109.4,187.6,45.7,109.4,187.6,24.0,65.0,124.0,22.6,24.0,21.2,12.0
POS_00303,1,landslide_event,2010-04-20,26.1965,91.763,Assam,True,4,2010,45.7,109.4,187.6,45.7,109.4,187.6,24.0,65.0,124.0,22.6,24.0,21.2,12.0
CTRL_00297,0,matched_control,2010-04-22,25.1553,93.028,Assam,True,4,2010,1.7,120.69999999999999,217.29999999999998,1.7,120.69999999999999,217.29999999999998,7.0,43.0,96.0,25.6,29.7,22.4,17.4
POS_00325,1,landslide_event,2010-06-07,24.7543,93.5039,Manipur,True,6,2010,14.8,25.700000000000003,54.50000000000001,14.8,25.700000000000003,54.50000000000001,20.0,44.0,105.0,25.5,29.3,23.2,10.1
POS_00336,1,landslide_event,2010-06-15,25.2269,93.1658,Assam,True,6,2010,4.2,23.1,38.10000000000001,4.2,23.1,38.10000000000001,11.0,53.0,87.0,24.3,28.3,22.1,8.0
CTRL_00326,0,matched_control,2010-06-28,24.7543,93.5039,Manipur,True,6,2010,7.1,24.799999999999997,126.10000000000001,7.1,24.799999999999997,126.10000000000001,14.0,37.0,111.0,26.7,29.2,25.0,8.8
CTRL_00409,0,matched_control,2010-07-04,25.0477,92.801,Assam,True,7,2010,6.2,21.0,172.7,6.2,21.0,172.7,12.0,41.0,130.0,25.9,28.2,23.6,6.2
POS_00362,1,landslide_event,2010-07-06,26.2363,94.8133,Nagaland,True,7,2010,3.0,13.3,89.1,3.0,13.3,89.1,16.0,42.0,129.0,18.5,21.2,16.5,8.0
POS_00366,1,landslide_event,2010-07-06,26.0093,94.5238,Nagaland,True,7,2010,3.5,17.5,101.2,3.5,17.5,101.2,14.0,45.0,124.0,19.3,21.9,17.2,6.2
POS_00372,1,landslide_event,2010-07-07,31.5041,77.9521,Himachal Pradesh,False,7,2010,7.9,92.4,107.39999999999999,7.9,92.4,107.39999999999999,10.0,58.0,93.0,9.9,14.9,3.0,6.9
CTRL_00429,0,matched_control,2010-07-08,24.9786,93.5027,Assam,True,7,2010,1.5,13.4,38.9,1.5,13.4,38.9,6.0,47.0,92.0,22.3,25.5,20.2,10.3
CTRL_00435,0,matched_control,2010-07-09,15.9517,73.9958,Maharashtra,False,7,2010,10.3,35.7,141.3,10.3,35.7,141.3,22.0,68.0,163.0,24.1,26.2,22.8,9.2
POS_00408,1,landslide_event,2010-07-25,25.0477,92.801,Assam,True,7,2010,9.9,29.6,73.3,9.9,29.6,73.3,12.0,42.0,136.0,26.6,30.4,23.2,7.7
CTRL_00363,0,matched_control,2010-07-27,26.2363,94.8133,Nagaland,True,7,2010,8.4,57.8,110.99999999999999,8.4,57.8,110.99999999999999,10.0,34.0,96.0,20.0,23.8,16.5,5.4
CTRL_00367,0,matched_control,2010-07-27,26.0093,94.5238,Nagaland,True,7,2010,7.8,24.1,57.900000000000006,7.8,24.1,57.900000000000006,5.0,27.0,76.0,21.0,24.8,16.9,3.6
CTRL_00373,0,matched_control,2010-07-28,31.5041,77.9521,Himachal Pradesh,False,7,2010,6.1,64.5,98.4,6.1,64.5,98.4,11.0,59.0,102.0,11.8,16.8,5.9,6.4
POS_00428,1,landslide_event,2010-07-29,24.9786,93.5027,Assam,True,7,2010,20.7,41.0,82.89999999999999,20.7,41.0,82.89999999999999,10.0,28.0,79.0,21.2,22.3,20.3,5.1
POS_00434,1,landslide_event,2010-07-30,15.9517,73.9958,Maharashtra,False,7,2010,76.3,172.3,500.80000000000007,76.3,172.3,500.80000000000007,24.0,72.0,168.0,22.9,24.0,22.1,16.5
CTRL_00520,0,matched_control,2010-08-05,27.2319,88.497,Unknown,False,8,2010,20.1,57.0,265.20000000000005,20.1,57.0,265.20000000000005,23.0,63.0,152.0,24.0,26.9,21.4,6.1
POS_00456,1,landslide_event,2010-08-06,34.208,77.5101,Jammu and Kashmir,False,8,2010,12.1,17.5,20.8,12.1,17.5,20.8,21.0,33.0,45.0,14.7,18.3,12.1,5.2
CTRL_00528,0,matched_control,2010-08-09,19.2179,73.1694,Maharashtra,False,8,2010,6.5,27.700000000000003,89.9,6.5,27.700000000000003,89.9,13.0,59.0,151.0,26.9,29.7,24.6,18.0
POS_00490,1,landslide_event,2010-08-17,19.1993,73.0109,Maharashtra,False,8,2010,14.6,20.599999999999998,31.400000000000002,14.6,20.599999999999998,31.400000000000002,16.0,39.0,91.0,28.0,30.5,26.2,13.8
POS_00498,1,landslide_event,2010-08-19,26.1984,94.8158,Nagaland,True,8,2010,33.8,60.39999999999999,150.89999999999998,33.8,60.39999999999999,150.89999999999998,24.0,53.0,135.0,19.1,22.4,17.1,5.4
POS_00500,1,landslide_event,2010-08-19,19.1935,73.0114,Maharashtra,False,8,2010,2.6,43.0,55.6,2.6,43.0,55.6,7.0,39.0,94.0,27.1,29.4,25.7,13.1
POS_00507,1,landslide_event,2010-08-21,31.5304,77.7755,Himachal Pradesh,False,8,2010,6.8,39.2,106.2,6.8,39.2,106.2,9.0,37.0,89.0,17.9,21.1,13.2,5.9
POS_00519,1,landslide_event,2010-08-26,27.2319,88.497,Unknown,False,8,2010,25.5,150.39999999999998,428.9,25.5,150.39999999999998,428.9,24.0,64.0,160.0,23.1,26.0,21.1,4.9
CTRL_00457,0,matched_control,2010-08-27,34.208,77.5101,Jammu and Kashmir,False,8,2010,0.0,0.4,14.900000000000002,0.0,0.6000000000000001,16.1,0.0,4.0,54.0,13.4,18.1,7.1,5.4
POS_00527,1,landslide_event,2010-08-30,19.2179,73.1694,Maharashtra,False,8,2010,30.7,138.9,184.1,30.7,138.9,184.1,24.0,65.0,131.0,26.2,27.7,25.0,20.4
CTRL_00603,0,matched_control,2010-09-04,33.241,75.2382,Jammu and Kashmir,False,9,2010,1.5,5.9,13.8,1.5,5.9,13.8,5.0,19.0,50.0,20.9,24.4,17.7,7.7
POS_00566,1,landslide_event,2010-09-17,30.75402442,79.49970189,Uttarakhand,False,9,2010,4.3,5.0,17.0,29.9,31.9,60.89999999999999,17.0,24.0,82.0,2.0,5.8,-1.4,4.9
POS_00569,1,landslide_event,2010-09-18,29.2484,79.5371,Uttarakhand,False,9,2010,74.1,241.0,284.0,74.1,241.0,284.0,24.0,66.0,118.0,25.1,26.5,24.2,9.6
POS_00583,1,landslide_event,2010-09-19,30.9544,77.5063,Himachal Pradesh,False,9,2010,81.2,110.7,272.0,81.2,110.7,272.0,24.0,50.0,101.0,13.0,15.4,11.3,6.9
POS_00573,1,landslide_event,2010-09-19,31.9843,77.1889,Himachal Pradesh,False,9,2010,14.7,23.6,40.0,22.9,36.1,53.400000000000006,20.0,39.0,70.0,12.7,15.5,9.7,5.9
POS_00580,1,landslide_event,2010-09-19,31.4582,78.2114,Himachal Pradesh,False,9,2010,15.2,28.9,59.199999999999996,44.9,88.6,146.9,24.0,49.0,89.0,12.4,13.7,10.4,2.9
POS_00602,1,landslide_event,2010-09-25,33.241,75.2382,Jammu and Kashmir,False,9,2010,0.0,1.4,4.6,0.0,1.4,4.6,0.0,5.0,14.0,17.3,23.5,10.7,8.2
POS_00612,1,landslide_event,2010-10-04,30.9546,77.1792,Himachal Pradesh,False,10,2010,1.2,3.0,3.3,1.2,3.0,3.3,4.0,9.0,10.0,15.8,20.7,10.9,7.4
POS_00624,1,landslide_event,2010-10-09,25.5242,92.9914,Assam,True,10,2010,13.6,110.9,149.20000000000005,13.6,110.9,149.20000000000005,8.0,56.0,93.0,25.1,27.4,21.8,9.1
POS_00634,1,landslide_event,2010-10-09,25.1796,93.0083,Assam,True,10,2010,24.4,120.4,148.50000000000003,24.4,120.4,148.50000000000003,12.0,60.0,95.0,22.7,24.5,20.3,10.6
POS_00641,1,landslide_event,2010-10-12,33.1847,75.8062,Jammu and Kashmir,False,10,2010,0.0,1.8,2.2,0.0,1.8,2.2,0.0,3.0,7.0,19.9,27.2,12.6,6.7
CTRL_00613,0,matched_control,2010-10-25,30.9546,77.1792,Himachal Pradesh,False,10,2010,0.2,8.9,30.3,0.2,8.9,30.3,1.0,16.0,48.0,11.8,18.8,5.2,8.0
CTRL_00625,0,matched_control,2010-10-30,25.5242,92.9914,Assam,True,10,2010,0.0,0.4,3.1999999999999997,0.0,0.4,3.1999999999999997,0.0,2.0,14.0,24.4,30.2,20.2,6.8
CTRL_00635,0,matched_control,2010-10-30,25.1796,93.0083,Assam,True,10,2010,0.0,0.0,2.6,0.0,0.0,2.6,0.0,0.0,12.0,23.0,28.6,18.6,6.4
POS_00650,1,landslide_event,2010-11-08,14.7822,74.2279,Karnataka,False,11,2010,29.1,39.5,64.4,29.1,39.5,64.4,24.0,37.0,68.0,24.2,24.9,23.2,13.5
CTRL_00651,0,matched_control,2010-11-29,14.7822,74.2279,Karnataka,False,11,2010,0.0,0.6,3.9,0.0,0.6,3.9,0.0,1.0,9.0,27.6,31.8,24.9,15.5
CTRL_00671,0,matched_control,2011-02-02,30.4749,79.2293,Uttarakhand,False,2,2011,0.0,0.1,1.6,0.0,0.1,5.4,0.0,1.0,21.0,3.0,10.5,-4.7,7.3
CTRL_00675,0,matched_control,2011-02-04,32.2338,77.1784,Himachal Pradesh,False,2,2011,0.1,0.1,0.2,16.7,23.6,41.6,24.0,37.0,62.0,8.1,10.8,2.6,4.8
POS_00664,1,landslide_event,2011-02-13,33.1804,75.8101,Jammu and Kashmir,False,2,2011,0.0,0.2,1.4,43.4,64.39999999999999,141.0,24.0,48.0,68.0,8.4,9.7,6.5,3.6
POS_00670,1,landslide_event,2011-02-23,30.4749,79.2293,Uttarakhand,False,2,2011,0.2,0.30000000000000004,1.2,0.3,0.4,2.3,3.0,4.0,14.0,3.2,8.9,-2.0,6.5
POS_00674,1,landslide_event,2011-02-25,32.2338,77.1784,Himachal Pradesh,False,2,2011,0.0,0.0,0.0,12.7,46.4,59.900000000000006,24.0,68.0,107.0,1.7,4.2,-1.0,4.8
POS_00676,1,landslide_event,2011-03-01,33.2477,75.1919,Jammu and Kashmir,False,3,2011,0.3,1.8,13.899999999999999,1.7,11.799999999999999,64.6,4.0,16.0,93.0,4.3,8.5,-1.0,6.4
POS_00683,1,landslide_event,2011-03-19,33.2466,75.1611,Jammu and Kashmir,False,3,2011,17.7,23.099999999999998,23.099999999999998,21.6,27.0,27.0,22.0,40.0,40.0,7.5,12.8,2.5,7.2
CTRL_00677,0,matched_control,2011-03-22,33.2477,75.1919,Jammu and Kashmir,False,3,2011,0.0,0.7,23.799999999999997,0.0,0.7,27.7,0.0,1.0,41.0,10.6,18.0,4.0,8.2
CTRL_00703,0,matched_control,2011-05-10,25.1555,93.8474,Manipur,True,5,2011,3.3,9.4,36.2,3.3,9.4,36.2,10.0,23.0,59.0,22.4,27.7,17.3,6.8
POS_00702,1,landslide_event,2011-05-31,25.1555,93.8474,Manipur,True,5,2011,58.2,167.60000000000002,196.60000000000005,58.2,167.60000000000002,196.60000000000005,23.0,67.0,108.0,22.5,24.6,21.1,7.7
POS_00714,1,landslide_event,2011-06-02,9.5207,77.0198,Tamil Nadu,False,6,2011,51.4,181.0,271.2,51.4,181.0,271.2,24.0,72.0,152.0,24.2,25.5,23.1,11.6
CTRL_00749,0,matched_control,2011-06-07,25.03561729,94.0144205,Manipur,True,6,2011,14.9,16.200000000000003,24.400000000000006,14.9,16.200000000000003,24.400000000000006,13.0,22.0,52.0,25.4,30.1,21.4,8.4
CTRL_00753,0,matched_control,2011-06-08,32.2282,77.1898,Himachal Pradesh,False,6,2011,0.0,0.8,2.6,0.0,0.8,6.1,0.0,5.0,19.0,15.0,19.6,8.8,6.4
CTRL_00755,0,matched_control,2011-06-08,30.81507336,78.2242533,Uttarakhand,False,6,2011,2.2,4.9,17.2,2.2,4.9,17.2,6.0,12.0,22.0,21.0,24.4,15.1,10.3
CTRL_00769,0,matched_control,2011-06-09,30.15,78.7753,Uttarakhand,False,6,2011,3.5,9.8,11.5,3.5,9.8,11.5,8.0,15.0,17.0,23.4,29.1,19.6,6.1
POS_00739,1,landslide_event,2011-06-21,25.51614662,94.2341227,Nagaland,True,6,2011,17.0,51.5,116.89999999999999,17.0,51.5,116.89999999999999,20.0,51.0,123.0,22.2,27.0,19.2,4.1
CTRL_00715,0,matched_control,2011-06-23,9.5207,77.0198,Tamil Nadu,False,6,2011,3.4,7.6,56.2,3.4,7.6,56.2,8.0,22.0,85.0,25.1,27.9,22.9,13.8
POS_00748,1,landslide_event,2011-06-28,25.03561729,94.0144205,Manipur,True,6,2011,8.3,24.0,44.2,8.3,24.0,44.2,9.0,45.0,82.0,24.5,28.4,21.8,7.3
POS_00752,1,landslide_event,2011-06-29,32.2282,77.1898,Himachal Pradesh,False,6,2011,6.8,27.0,34.5,6.8,27.0,34.5,17.0,52.0,67.0,20.2,23.1,17.2,5.3
POS_00754,1,landslide_event,2011-06-29,30.81507336,78.2242533,Uttarakhand,False,6,2011,14.2,51.699999999999996,156.2,14.2,51.699999999999996,156.2,14.0,57.0,121.0,23.1,24.5,21.4,6.9
POS_00768,1,landslide_event,2011-06-30,30.15,78.7753,Uttarakhand,False,6,2011,6.9,32.6,147.3,6.9,32.6,147.3,10.0,47.0,108.0,24.6,28.5,22.1,5.5
POS_00776,1,landslide_event,2011-07-03,34.1601,75.496,Jammu and Kashmir,False,7,2011,0.1,5.4,17.4,0.1,5.5,17.599999999999998,1.0,19.0,45.0,-0.6,4.4,-5.9,4.8
CTRL_00829,0,matched_control,2011-07-04,32.1896,77.187,Himachal Pradesh,False,7,2011,0.4,3.5,26.0,0.4,3.5,26.0,3.0,14.0,73.0,19.4,25.2,12.3,7.9
CTRL_00835,0,matched_control,2011-07-08,30.012,78.197,Uttarakhand,False,7,2011,6.4,16.700000000000003,24.100000000000005,6.4,16.700000000000003,24.100000000000005,13.0,41.0,67.0,27.8,30.2,26.1,10.5
CTRL_00777,0,matched_control,2011-07-24,34.1601,75.496,Jammu and Kashmir,False,7,2011,4.1,11.0,17.3,4.1,11.0,17.3,7.0,23.0,40.0,7.8,11.7,3.9,7.6
POS_00828,1,landslide_event,2011-07-25,32.1896,77.187,Himachal Pradesh,False,7,2011,17.3,28.300000000000004,41.7,17.3,28.300000000000004,41.7,19.0,41.0,76.0,22.2,23.7,20.9,5.2
POS_00834,1,landslide_event,2011-07-29,30.012,78.197,Uttarakhand,False,7,2011,9.3,27.700000000000003,56.900000000000006,9.3,27.700000000000003,56.900000000000006,18.0,56.0,104.0,28.8,31.3,27.0,6.1
POS_00844,1,landslide_event,2011-08-07,33.0271,75.0018,Jammu and Kashmir,False,8,2011,16.9,27.9,44.4,16.9,27.9,44.4,12.0,33.0,63.0,22.3,25.5,20.0,5.6
POS_00875,1,landslide_event,2011-08-13,25.7713,93.8067,Assam,True,8,2011,25.7,64.5,168.5,25.7,64.5,168.5,22.0,46.0,133.0,27.5,29.4,26.0,4.3
POS_00877,1,landslide_event,2011-08-15,27.4888,93.0153,Arunachal Pradesh,True,8,2011,91.1,154.39999999999998,211.1,91.1,154.39999999999998,211.1,24.0,69.0,131.0,23.7,24.8,23.0,7.9
POS_00878,1,landslide_event,2011-08-16,25.5144,90.2167,Meghalaya,True,8,2011,73.4,104.6,187.9,73.4,104.6,187.9,23.0,68.0,114.0,25.2,26.3,24.0,13.6
CTRL_00845,0,matched_control,2011-08-28,33.0271,75.0018,Jammu and Kashmir,False,8,2011,6.7,33.0,73.8,6.7,33.0,73.8,11.0,44.0,98.0,21.0,22.8,18.3,4.6
POS_00909,1,landslide_event,2011-10-17,9.9903,76.7898,Kerala,False,10,2011,5.3,26.7,44.0,5.3,26.7,44.0,13.0,38.0,65.0,24.9,26.8,23.6,4.6
POS_00910,1,landslide_event,2011-11-03,10.2445,77.5146,Tamil Nadu,False,11,2011,9.2,24.2,113.29999999999998,9.2,24.2,113.29999999999998,16.0,47.0,130.0,20.2,24.2,18.2,3.4
CTRL_00911,0,matched_control,2011-11-24,10.2445,77.5146,Tamil Nadu,False,11,2011,20.1,28.200000000000003,44.7,20.1,28.200000000000003,44.7,20.0,32.0,54.0,18.7,20.1,17.8,6.8
POS_00914,1,landslide_event,2012-01-12,33.2407,75.2373,Jammu and Kashmir,False,1,2012,0.0,0.0,2.4,0.0,0.0,43.199999999999996,0.0,0.0,34.0,-5.6,0.7,-11.6,7.9
CTRL_00922,0,matched_control,2012-02-01,33.241,75.234,Jammu and Kashmir,False,2,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,5.2,-6.5,7.1
POS_00916,1,landslide_event,2012-02-04,33.2424,75.2381,Jammu and Kashmir,False,2,2012,7.0,8.4,8.4,35.8,41.699999999999996,41.699999999999996,21.0,36.0,36.0,2.3,3.6,0.0,4.7
POS_00920,1,landslide_event,2012-02-19,33.2361,75.2441,Jammu and Kashmir,False,2,2012,1.4,1.5,11.8,2.0,2.9,50.7,6.0,11.0,52.0,4.8,8.8,1.2,6.1
POS_00921,1,landslide_event,2012-02-22,33.241,75.234,Jammu and Kashmir,False,2,2012,19.2,45.3,47.099999999999994,25.7,61.5,65.0,22.0,60.0,74.0,4.1,7.6,0.3,5.2
CTRL_00917,0,matched_control,2012-02-25,33.2424,75.2381,Jammu and Kashmir,False,2,2012,0.0,3.3,49.99999999999999,0.0,7.4,70.9,0.0,17.0,83.0,4.1,9.4,-1.5,7.1
CTRL_00932,0,matched_control,2012-04-03,33.2413,75.2381,Jammu and Kashmir,False,4,2012,0.6,0.8,1.4,0.6,0.8,1.4,2.0,3.0,5.0,14.4,21.6,7.6,9.9
POS_00931,1,landslide_event,2012-04-24,33.2413,75.2381,Jammu and Kashmir,False,4,2012,3.3,20.3,44.00000000000001,3.3,20.3,44.00000000000001,6.0,31.0,59.0,14.3,20.4,8.8,7.7
